window_id,rows,attack_type,raw_matched_attack_type,avg_match_score,strategy_id,model_type,adjustment_triggered,detection_success,defense_success,reward,actions
0,200,BENIGN,SSH-Patator,0.5903265388217117,s_benign_monitor,monitor,True,True,True,0.58,"[{'action_type': 'monitor_only', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""monitoring"", ""translated_command"": ""monitor window=0 attack_type=BENIGN"", ""description"": ""保持监控，不改变网络转发行为。""}}', 'timestamp': '2026-05-21T08:11:35.634432'}, {'action_type': 'log_enrich', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""logging"", ""translated_command"": ""enable_log_enrichment fields=window_summary"", ""description"": ""开启增强日志采集，用于攻击溯源和后续特征分析。""}}', 'timestamp': '2026-05-21T08:11:35.637367'}]"
1,200,BENIGN,SSH-Patator,0.5596862415769576,s_benign_monitor,monitor,False,True,True,0.58,[]
2,200,DDoS,DDoS,0.7485492351080681,s_ddos_vote_rate_limit,ensemble,True,True,True,1.4985492351080683,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model ensemble_lstm_ar_subspace"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.685536'}, {'action_type': 'raise_threshold', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_threshold --metric flow_rate --value 0.85"", ""description"": ""调整检测阈值，用于持续攻击下的策略自适应优化。""}}', 'timestamp': '2026-05-21T08:11:35.688081'}, {'action_type': 'rate_limit', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_qos"", ""translated_command"": ""tc qdisc replace dev eth0 root tbf rate 20mbit burst 32kbit latency 400ms # scope=suspicious_src"", ""alternative_openflow"": ""install OpenFlow meter for scope=suspicious_src, rate=20mbit"", ""description"": ""对可疑源、可疑流或链路执行限速。""}}', 'timestamp': '2026-05-21T08:11:35.690112'}]"
3,200,DDoS,DDoS,0.7622979823294221,s_ddos_vote_rate_limit,ensemble,True,True,True,1.512297982329422,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model ensemble_lstm_ar_subspace"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.716168'}, {'action_type': 'raise_threshold', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_threshold --metric flow_rate --value 0.85"", ""description"": ""调整检测阈值，用于持续攻击下的策略自适应优化。""}}', 'timestamp': '2026-05-21T08:11:35.718929'}, {'action_type': 'rate_limit', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_qos"", ""translated_command"": ""tc qdisc replace dev eth0 root tbf rate 20mbit burst 32kbit latency 400ms # scope=suspicious_src"", ""alternative_openflow"": ""install OpenFlow meter for scope=suspicious_src, rate=20mbit"", ""description"": ""对可疑源、可疑流或链路执行限速。""}}', 'timestamp': '2026-05-21T08:11:35.721110'}]"
4,200,PortScan,PortScan,0.8536849273496212,s_portscan_isolate,hybrid,True,True,True,1.6736849273496213,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model subspace_detector"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.746104'}, {'action_type': 'isolate_flow', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_acl"", ""translated_command"": ""ovs-ofctl add-flow br0 priority=100,ip,actions=drop # scope=suspicious_src_dst"", ""alternative_acl"": ""install ACL drop rule for scope=suspicious_src_dst"", ""description"": ""隔离可疑流量，可映射为 OpenFlow drop、ACL 或重定向到隔离区。""}}', 'timestamp': '2026-05-21T08:11:35.749488'}, {'action_type': 'log_enrich', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""logging"", ""translated_command"": ""enable_log_enrichment fields=src_ip,dst_ip,dst_port,flow_duration"", ""description"": ""开启增强日志采集，用于攻击溯源和后续特征分析。""}}', 'timestamp': '2026-05-21T08:11:35.751990'}]"
5,200,PortScan,PortScan,0.8468577522995286,s_portscan_isolate,hybrid,True,True,True,1.6668577522995287,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model subspace_detector"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.776462'}, {'action_type': 'isolate_flow', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_acl"", ""translated_command"": ""ovs-ofctl add-flow br0 priority=100,ip,actions=drop # scope=suspicious_src_dst"", ""alternative_acl"": ""install ACL drop rule for scope=suspicious_src_dst"", ""description"": ""隔离可疑流量，可映射为 OpenFlow drop、ACL 或重定向到隔离区。""}}', 'timestamp': '2026-05-21T08:11:35.778957'}, {'action_type': 'log_enrich', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""logging"", ""translated_command"": ""enable_log_enrichment fields=src_ip,dst_ip,dst_port,flow_duration"", ""description"": ""开启增强日志采集，用于攻击溯源和后续特征分析。""}}', 'timestamp': '2026-05-21T08:11:35.782225'}]"
6,200,FTP-Patator,FTP-Patator,0.9002898169131806,s_bruteforce_ssh_ftp,sequence,True,True,True,1.7502898169131806,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model lstm_sequence_detector"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.805751'}, {'action_type': 'raise_threshold', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_threshold --metric failed_login_rate --value 0.75"", ""description"": ""调整检测阈值，用于持续攻击下的策略自适应优化。""}}', 'timestamp': '2026-05-21T08:11:35.808318'}, {'action_type': 'isolate_flow', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_acl"", ""translated_command"": ""ovs-ofctl add-flow br0 priority=100,ip,actions=drop # scope=suspicious_src"", ""alternative_acl"": ""install ACL drop rule for scope=suspicious_src"", ""description"": ""隔离可疑流量，可映射为 OpenFlow drop、ACL 或重定向到隔离区。""}}', 'timestamp': '2026-05-21T08:11:35.810712'}]"
7,200,SSH-Patator,SSH-Patator,0.904360439077917,s_bruteforce_ssh_ftp,sequence,True,True,True,1.754360439077917,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model lstm_sequence_detector"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.833975'}, {'action_type': 'raise_threshold', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_threshold --metric failed_login_rate --value 0.75"", ""description"": ""调整检测阈值，用于持续攻击下的策略自适应优化。""}}', 'timestamp': '2026-05-21T08:11:35.836268'}, {'action_type': 'isolate_flow', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_acl"", ""translated_command"": ""ovs-ofctl add-flow br0 priority=100,ip,actions=drop # scope=suspicious_src"", ""alternative_acl"": ""install ACL drop rule for scope=suspicious_src"", ""description"": ""隔离可疑流量，可映射为 OpenFlow drop、ACL 或重定向到隔离区。""}}', 'timestamp': '2026-05-21T08:11:35.838470'}]"
8,200,FTP-Patator,FTP-Patator,0.891896422217786,s_bruteforce_ssh_ftp,sequence,True,True,True,1.7418964222177862,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model lstm_sequence_detector"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.862086'}, {'action_type': 'raise_threshold', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_threshold --metric failed_login_rate --value 0.75"", ""description"": ""调整检测阈值，用于持续攻击下的策略自适应优化。""}}', 'timestamp': '2026-05-21T08:11:35.865335'}, {'action_type': 'isolate_flow', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_acl"", ""translated_command"": ""ovs-ofctl add-flow br0 priority=100,ip,actions=drop # scope=suspicious_src"", ""alternative_acl"": ""install ACL drop rule for scope=suspicious_src"", ""description"": ""隔离可疑流量，可映射为 OpenFlow drop、ACL 或重定向到隔离区。""}}', 'timestamp': '2026-05-21T08:11:35.867710'}]"
9,200,FTP-Patator,FTP-Patator,0.8674202197430341,s_bruteforce_ssh_ftp,sequence,True,True,True,1.7174202197430342,"[{'action_type': 'switch_model', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_detection_model --model lstm_sequence_detector"", ""description"": ""通知检测服务切换或启用指定检测模型。""}}', 'timestamp': '2026-05-21T08:11:35.891011'}, {'action_type': 'raise_threshold', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""detector"", ""translated_command"": ""set_threshold --metric failed_login_rate --value 0.75"", ""description"": ""调整检测阈值，用于持续攻击下的策略自适应优化。""}}', 'timestamp': '2026-05-21T08:11:35.893300'}, {'action_type': 'isolate_flow', 'status': 'OK', 'detail': '{""status"": ""OK"", ""message"": ""action translated"", ""translated"": {""execution_mode"": ""SIMULATED"", ""target_subsystem"": ""sdn_acl"", ""translated_command"": ""ovs-ofctl add-flow br0 priority=100,ip,actions=drop # scope=suspicious_src"", ""alternative_acl"": ""install ACL drop rule for scope=suspicious_src"", ""description"": ""隔离可疑流量，可映射为 OpenFlow drop、ACL 或重定向到隔离区。""}}', 'timestamp': '2026-05-21T08:11:35.895664'}]"
