Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,Label
88,65717.09334803582,6,4,565.7709798286755,456.03689813069,97.3962352843296,84.77586198209795,3191.7424967303164,75.76070361688403,1,0,BENIGN
78,67311.23546296642,11,4,486.89545622616686,606.9470077003346,63.344274934311855,111.65630427431644,2338.527874495034,99.46030306727344,0,1,BENIGN
84,65213.22125792049,7,5,479.6405059484228,756.2176794742477,48.66678496549382,92.06492946288046,2587.009207228121,65.63150409452177,0,0,BENIGN
74,71641.14430041747,12,8,485.42049802051724,605.9113298070074,47.55683412498325,133.84909202055493,3030.535460620393,69.171074008321,0,3,BENIGN
80,74321.03897106164,8,6,413.16861695031736,662.969671424235,58.32211533250444,111.73246382364395,3504.2290317385773,95.82873538216047,0,1,BENIGN
76,78771.32995478825,9,6,537.1273791368498,691.9893984197681,85.13258774902854,130.39633632844397,4313.53081932643,56.25956229670166,0,0,BENIGN
80,76134.05861673469,8,2,476.72849504024373,787.7653121163681,67.10189470728767,115.24022360624049,2866.380786291174,76.58711282819004,0,1,BENIGN
80,70833.17952929802,5,7,509.2584165953492,819.7252942386635,86.47835759803014,103.70312834967888,2774.4537449958416,69.14158307327821,0,1,BENIGN
78,70305.22159469656,6,8,466.0182290762641,829.7978167093829,70.569832835816,111.87157046474134,2341.957980709634,82.87950136199736,0,0,BENIGN
78,70228.3344414002,3,7,564.3082092164625,608.8913102718094,69.51091957328215,73.75433177525136,2976.7439989311033,52.531869970043985,1,1,BENIGN
79,64573.09350419672,11,10,358.79337830204685,831.0333872279989,95.05301506297812,106.76023393148951,2279.2399125665534,94.67687039824837,0,0,BENIGN
73,73854.31300932949,10,5,539.5638016175761,578.6998126999468,78.5372206374269,100.93134596848292,2887.871567083683,78.27032016700453,0,1,BENIGN
82,70964.0461711917,8,8,517.6695864975841,772.3504491276354,56.2976645296388,51.303244717857226,3624.333585717508,117.17865399856238,0,0,BENIGN
79,69166.50163138856,8,4,460.70082119806267,594.3151562690721,67.4759832277554,94.06717695258274,3297.6220057107544,77.03004628437748,0,1,BENIGN
90,56723.57717883946,6,8,692.1527537172863,673.6447135621612,63.373379863567784,95.4737151497279,3800.205724665143,75.11576632090768,0,0,BENIGN
